School ID,District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,State,geometry,Student_Open_Date,Open_Year
601,Enfield School District,Enfield High School,Public Schools,496111,1264 Enfield St.,Enfield,6082,860-253-5540,CT,POINT (-72.59838825968257 41.97896655),1984-01-07,1984
602,Bethel School District,Anna H. Rockwell School,Public Schools,90411,400 Whittlesey Dr.,Bethel,6801,203-794-8688,CT,POINT (-73.3965549 41.3840241),1984-01-07,1984
604,Norwalk School District,Silvermine Dual Language Magnet School,Public Schools,1032311,157 Perry Avenue,Norwalk,6850,203-899-2950,CT,POINT (-73.4407394 41.1474941),1984-01-07,1984
605,Bridgeport School District,Roosevelt School,Public Schools,152611,680 Park Ave.,Bridgeport,6604,203-576-8032,CT,POINT (-73.19546345007664 41.17143385),1984-01-07,1984
606,Hartford School District,University High School of Science and Engineering,Public Schools,646711,351 Mark Twain Drive,Hartford,6112,860-695-9020,CT,POINT (-72.70895201724628 41.79627005),2004-01-07,2004
607,Odyssey Community School District,Odyssey Community School District,Public Charter School Districts,2630013,579 Middle Tpke West,Manchester,6040,860-645-1234,CT,POINT (-72.5506458 41.7813658),1999-01-07,1999
608,Avon School District,Thompson Brook School,Public Schools,40511,150 Thompson Rd.,Avon,6001,860-404-4870,CT,POINT (-72.8530546 41.7725466),2002-01-07,2002
609,Marlborough School District,Elmer Thienes-Mary Hall Elementary School,Public Schools,790111,25 School Dr.,Marlborough,6447,860-295-6220,CT,POINT (-72.4594303 41.6270507),1984-01-07,1984
610,Westbrook School District,Westbrook Middle School,Public Schools,1545111,154 McVeagh Rd.,Westbrook,6498,860-399-2010,CT,POINT (-72.45211185388817 41.29801537255915),1997-01-07,1997
611,Hartford School District,Montessori Magnet at Fisher School,Public Schools,643711,280 Plainfield Street,Hartford,6112,860-695-3560,CT,POINT (-72.70799611143528 41.79365885),,
612,Bridgeport School District,Bryant School,Public Schools,150411,230 Poplar St.,Bridgeport,6605,203-576-7303,CT,POINT (-73.2146420746261 41.1741453),1984-01-07,1984
613,New Haven School District,High School In The Community,Public Schools,936611,175 Water St.,New Haven,6511,475-220-6200,CT,POINT (-72.9222313 41.3016572),1995-01-07,1995
614,Greenwich School District,Parkway School,Public Schools,571111,141 Lower Cross Rd.,Greenwich,6831,203-869-7466,CT,POINT (-73.6533094 41.1117683),1992-01-07,1992
615,North Branford School District,Totoket Valley Elementary School,Public Schools,990611,1388 Middletown Ave.,Northford,6472,203-484-1455,CT,POINT (-72.79222412706406 41.39250865434556),1997-01-07,1997
616,Stafford School District,Stafford Middle School,Public Schools,1345211,21 Levinthal Run,Stafford Springs,6076,860-684-2785,CT,POINT (-72.3057275393443 41.96579365),1992-01-07,1992
618,Ridgefield School District,Scotland Elementary School,Public Schools,1180511,111 Barlow Mountain Rd.,Ridgefield,6877,203-894-5825,CT,POINT (-73.50998474344891 41.326116866446476),1984-01-07,1984
619,Naugatuck School District,Cross Street Intermediate School,Public Schools,880211,120 Cross St.,Naugatuck,6770,203-720-5227,CT,POINT (-73.0442884 41.471048),1984-01-07,1984
620,Regional School District 11,Parish Hill High School,Regional Schools,2116112,304 Parish Hill Rd.,Chaplin,6235,860-455-9584,CT,POINT (-72.10536611059551 41.75140295),2002-01-07,2002
621,Capitol Region Education Council,University of Hartford Magnet School,Regional Education Service Center Schools,2410214,196 Bloomfield Ave.,West Hartford,6117,860-236-2899,CT,POINT (-72.71288671053266 41.793519),2001-01-07,2001
622,The Woodstock Academy District,The Woodstock Academy,Endowed and Incorporated Academies Schools,9036122,57 Academy Rd.,Woodstock,6281,860-928-6575,CT,POINT (-71.97312686702469 41.9527722),2000-01-07,2000
623,Branford School District,Branford High School,Public Schools,146111,185 East Main St.,Branford,6405,203-488-7291,CT,POINT (-72.80043674135135 41.28772765),1984-01-07,1984
624,Middletown School District,Moody School,Public Schools,831211,300 Country Club Rd.,Middletown,6457,860-347-2561,CT,POINT (-72.7119293 41.5638711),1984-01-07,1984
626,Guilford School District,Calvin Leete School,Public Schools,600411,280 South Union St.,Guilford,6437,203-453-2726,CT,POINT (-72.6688669 41.282886),1984-01-07,1984
628,East Lyme School District,East Lyme Middle School,Public Schools,455111,31 Society Rd.,Niantic,6357,860-739-4491,CT,POINT (-72.21326937089432 41.35072665),1984-01-07,1984
629,Waterbury School District,John F. Kennedy High School,Public Schools,1516411,422 Highland Ave.,Waterbury,6708,203-574-8153,CT,POINT (-73.05811199882763 41.54577395),1984-01-07,1984
630,Stamford School District,Turn of River School,Public Schools,1355511,117 Vine Rd.,Stamford,6905,203-977-4284,CT,POINT (-73.54167517319573 41.09896005),1984-01-07,1984
631,Darien School District,Tokeneke Elementary School,Public Schools,350611,7 Old Farm Rd.,Darien,6820,203-655-9666,CT,POINT (-73.4582165 41.0739938),1984-01-07,1984
632,Putnam School District,Putnam Middle School,Public Schools,1165111,35 Wicker St.,Putnam,6260,860-963-6920,CT,POINT (-71.92339350890737 41.92662235),1984-01-07,1984
633,West Hartford School District,Wolcott School,Public Schools,1551511,71 Wolcott Rd.,West Hartford,6110,860-561-2300,CT,POINT (-72.749357 41.7251155),1984-01-07,1984
634,Connecticut Technical Education and Career System,Vinal Technical High School,CT Technical Education and Career Schools,9001816,60 Daniels St.,Middletown,6457,860-344-7100,CT,POINT (-72.6750574 41.5285059),2000-01-07,2000
635,Hamden School District,Hamden High School,Public Schools,626111,2040 Dixwell Ave.,Hamden,6514,203-407-2040,CT,POINT (-72.92273297700046 41.36777635),1984-01-07,1984
636,New Haven School District,Clinton Avenue School,Public Schools,930611,293 Clinton Ave.,New Haven,6513,475-220-3300,CT,POINT (-72.8923223 41.3186362),1984-01-07,1984
637,Bridgeport School District,Warren Harding High School,Public Schools,156311,379 Bond St,Bridgeport,6610,203-275-2751,CT,POINT (-73.16941147125502 41.19756865),1984-01-07,1984
638,Oxford School District,Oxford Middle School,Public Schools,1085111,40 Great Oak Rd.,Oxford,6478,203-888-5418,CT,POINT (-73.14028827885014 41.42287869327705),1997-01-07,1997
640,Wethersfield School District,Wethersfield School District,Public School Districts,1590011,127 Hartford Avenue,Wethersfield,6109,860-571-8110,CT,POINT (-72.6581144 41.7164502),1996-01-07,1996
641,Newtown School District,Reed Intermediate School,Public Schools,970511,3 Trades Lane,Newtown,6470,203-270-4880,CT,POINT (-73.2894538 41.4040516),2002-01-07,2002
643,Deep River School District,Deep River Elementary School,Public Schools,360111,12 River St.,Deep River,6417,860-526-5319,CT,POINT (-72.4344641 41.3858202),1984-01-07,1984
644,Waterbury School District,F. J. Kingsbury School,Public Schools,1511411,220 Columbia Blvd.,Waterbury,6710,203-574-8172,CT,POINT (-73.0452979 41.5718867),1984-01-07,1984
646,Danbury School District,Stadley Rough School,Public Schools,341611,25 Karen Rd.,Danbury,6811,203-797-4773,CT,POINT (-73.42878116199671 41.43295675),1984-01-07,1984
647,Stratford School District,Bunnell High School,Public Schools,1386211,1 Bulldog Boulevard,Stratford,6614,203-385-4250,CT,POINT (-73.13634 41.225829),1984-01-07,1984
648,Canterbury School District,Canterbury Elementary School,Public Schools,220211,67 Kitt Rd.,Canterbury,6331,860-546-6744,CT,POINT (-71.98356945910712 41.70202315),1990-01-07,1990
649,Plainville School District,Linden Street School,Public Schools,1100211,69 Linden St.,Plainville,6062,860-793-3270,CT,POINT (-72.8583742 41.6694346),1984-01-07,1984
650,East Hartford School District,Sunset Ridge Middle School,Public Schools,432411,450 Forbes St.,East Hartford,6118,860-622-5800,CT,POINT (-72.5991023603396 41.76460635),1999-01-07,1999
651,Fairfield School District,Tomlinson Middle School,Public Schools,515111,200 Unquowa Rd.,Fairfield,6824,203-255-8336,CT,POINT (-73.2565499 41.1442836),1984-01-07,1984
653,Capitol Region Education Council,Academy of Computer Science and Engineering,Regional Education Service Center Schools,2415214,1617 King Street,Enfield,6082,860-253-0274,CT,POINT (-72.59938725909356 41.94813485),,
654,Windsor School District,Sage Park Middle School,Public Schools,1645311,25 Sage Park Rd.,Windsor,6095,860-687-2030,CT,POINT (-72.66057408119681 41.84331785),1984-01-07,1984
655,Litchfield School District,Litchfield School District,Public School Districts,740011,35 Wamogo Road,Litchfield,6759,860-567-7500,CT,POINT (-73.2256802 41.7280238),1996-01-07,1996
657,Regional School District 08,RHAM Middle School,Regional Schools,2085112,25 Rham Rd.,Hebron,6248,860-228-9423,CT,POINT (-72.3667976254619 41.66358445),2002-01-07,2002
658,Sharon School District,Sharon School District,Public School Districts,1250011,80 Hilltop Road,Sharon,6069,860-364-5153,CT,POINT (-73.4714377 41.8825229),1996-01-07,1996
659,Hartford School District,Sanchez School,Public Schools,643011,176 Babcock Street,Hartford,6106,860-695-4940,CT,POINT (-72.68865715534969 41.7590141),1992-01-07,1992
661,Winchester School District,Mary P. Hinsdale School,Public Schools,1620211,15 Hinsdale Ave.,Winsted,6098,860-379-5423,CT,POINT (-73.0749841 41.9272414),2022-01-07,2022
662,East Haven School District,Joseph Melillo Middle School,Public Schools,445111,67 Hudson St.,East Haven,6512,203-468-3227,CT,POINT (-72.866243 41.2860863),1984-01-07,1984
663,Hartford School District,Kennelly School,Public Schools,641011,180 White Street,Hartford,6114,860-695-3860,CT,POINT (-72.69522140024768 41.7356956),1984-01-07,1984
665,Bridgeport School District,Interdistrict Discovery Magnet School,Public Schools,153711,4510 Park Avenue,Bridgeport,6606,203-275-1801,CT,POINT (-73.233879795879 41.21564315),,
666,New Haven School District,Metropolitan Business Academy,Public Schools,936011,115 Water Street,New Haven,6511,475-220-7700,CT,POINT (-72.91952039530491 41.30113266413359),2003-01-07,2003
667,Ashford School District,Ashford School District,Public School Districts,30011,440 Westford Rd.,Ashford,6278,860-429-1927,CT,POINT (-72.16789988672193 41.8922366),1996-01-07,1996
668,Interdistrict School for Arts and Comm District,Interdistrict School For Arts And Communication,Public Charter Schools,2655113,190 Governor Winthrop Blvd.,New London,6320,860-447-1003,CT,POINT (-72.09815155858001 41.35569015),,
669,Ellington School District,Ellington School District,Public School Districts,480011,47 Main Street,Ellington,6029,860-896-2300,CT,POINT (-72.46479741666666 41.9026145),1996-01-07,1996
670,Sharon School District,Sharon Center School,Public Schools,1250111,80 Hilltop Road,Sharon,6069,860-364-5153,CT,POINT (-73.4714377 41.8825229),1984-01-07,1984
671,Greenwich School District,Greenwich High School,Public Schools,576111,10 Hillside Rd.,Greenwich,6830,203-625-8000,CT,POINT (-73.61344042662367 41.040361),1984-01-07,1984
672,New Britain School District,Gaffney Elementary School,Public Schools,890511,322 Slater Rd.,New Britain,6053,860-225-6247,CT,POINT (-72.8133261 41.6758161),1984-01-07,1984
673,Wallingford School District,Moses Y. Beach School,Public Schools,1480111,340 North Main Street,Wallingford,6492,203-294-3940,CT,POINT (-72.815039 41.4601617),1984-01-07,1984
674,Bolton School District,Bolton School District,Public School Districts,120011,72 Brandy Street,Bolton,6043,860-643-1569,CT,POINT (-72.4216413 41.7607414),1996-01-07,1996
675,Norwich School District,Norwich School District,Public School Districts,1040011,90 Town Street,Norwich,6360,860-823-4200,CT,POINT (-72.09517799849029 41.5485309),1996-01-07,1996
676,Regional School District 06,Wamogo Regional High School,Regional Schools,2066112,98 Wamogo Rd.,Litchfield,6759,860-567-7410,CT,POINT (-73.22563396685115 41.72791175),2002-01-07,2002
677,Manchester School District,Keeney School,Public Schools,770611,65 North School St.,Manchester,6042,860-647-3354,CT,POINT (-72.52352107396334 41.7972079),1984-01-07,1984
678,Bristol School District,Northeast Middle School,Public Schools,175211,530 Stevens St.,Bristol,6010,860-584-7839,CT,POINT (-72.90768888775057 41.71314015),1997-01-07,1997
679,North Haven School District,North Haven School District,Public School Districts,1010011,5 Linsley Street,North Haven,6473,203-239-2581,CT,POINT (-72.86253682296302 41.38680925),1996-01-07,1996
682,Fairfield School District,North Stratfield School,Public Schools,511611,190 Putting Green Rd.,Fairfield,6825,203-255-8322,CT,POINT (-73.2497853 41.2068147),1984-01-07,1984
683,East Hampton School District,East Hampton Middle School,Public Schools,425111,19 Childs Rd.,East Hampton,6424,860-365-4060,CT,POINT (-72.52424092257738 41.5682083),1984-01-07,1984
684,Newtown School District,Newtown School District,Public School Districts,970011,3 Primrose Street,Newtown,6470,203-426-7620,CT,POINT (-73.2851937068142 41.40102095),1996-01-07,1996
685,Trumbull School District,Frenchtown Elementary School,Public Schools,1441011,30 Frenchtown Rd.,Trumbull,6611,203-452-4227,CT,POINT (-73.21169645084136 41.22952593308686),2003-01-07,2003
686,Wallingford School District,Lyman Hall High School,Public Schools,1486111,70 Pond Hill Road,Wallingford,6492,203-294-5350,CT,POINT (-72.81868571939606 41.4390844),1984-01-07,1984
687,Milford School District,Mathewson School,Public Schools,841711,466 West River St.,Milford,6460,203-783-3527,CT,POINT (-73.0628746 41.2392),1984-01-07,1984
688,Sterling School District,Sterling School District,Public School Districts,1360011,251 Sterling Road,Sterling,6377,860-564-4219,CT,POINT (-71.8365781 41.7052592),2007-04-09,2007
689,Hartford School District,Weaver High School,Public Schools,646311,415 Granby St.,Hartford,6112,860-695-1640,CT,POINT (-72.7083324 41.800319),2019-01-07,2019
690,Montville School District,Dr. Charles E. Murphy School,Public Schools,860711,500 Chesterfield Rd.,Oakdale,6370,860-848-9241,CT,POINT (-72.19616696633179 41.4475172),1984-01-07,1984
691,Regional School District 15,Rochambeau Middle School,Regional Schools,2155112,100 Peter Rd.,Southbury,6488,203-264-2711,CT,POINT (-73.22416664449909 41.46771715),2002-01-07,2002
692,Norwalk School District,Center for Global Studies,Public Schools,1030511,300 Highland Avenue,Norwalk,6854,203-852-9488,CT,POINT (-73.4332203 41.0856984),,
693,Somers School District,Somers Elementary School,Public Schools,1290411,4 Vision Boulevard,Somers,6071,860-749-2270,CT,POINT (-72.46233795993167 41.97696005),1995-01-07,1995
694,Hamden School District,Spring Glen School,Public Schools,621011,1908 Whitney Ave.,Hamden,6517,203-407-2045,CT,POINT (-72.9074292 41.3685453),1984-01-07,1984
695,Trumbull School District,Booth Hill School,Public Schools,1440111,545 Booth Hill Rd.,Trumbull,6611,203-452-4377,CT,POINT (-73.1730434226359 41.2601953),1984-01-07,1984
696,Hartford School District,Parkville Community School,Public Schools,641511,47 New Park Avenue,Hartford,6106,860-695-4721,CT,POINT (-72.7075848 41.7564945),1984-01-07,1984
697,New Haven School District,Mauro-Sheridan Magnet School,Public Schools,931911,191 Fountain St.,New Haven,6515,475-220-2800,CT,POINT (-72.96585736628563 41.3275009),2009-02-09,2009
698,New Hartford School District,New Hartford Elementary School,Public Schools,920211,40 Wickett St.,New Hartford,6057,860-379-0713,CT,POINT (-72.96661565364758 41.87752485),1984-01-07,1984
699,Stonington School District,Stonington Middle School,Public Schools,1375211,204 Mistuxet Ave.,Mystic,6355,860-536-9613,CT,POINT (-71.9442061 41.3577076),1984-01-07,1984
700,Brookfield School District,Center Elementary School,Public Schools,180311,8 Obtuse Hill Road,Brookfield,6804,203-775-7650,CT,POINT (-73.38033669252738 41.46861292659963),1984-01-07,1984
701,North Branford School District,North Branford School District,Public School Districts,990011,1332 Middletown Avenue,Northford,6472,203-484-1440,CT,POINT (-72.7921419 41.3925592),1996-01-07,1996
702,Griswold School District,Griswold High School,Public Schools,586211,267 Slater Ave.,Griswold,6351,860-376-7640,CT,POINT (-71.9820122011883 41.59457015),1992-01-07,1992
703,New Milford School District,Hill And Plain School,Public Schools,960511,60 Old Town Park Rd.,New Milford,6776,860-354-5430,CT,POINT (-73.4307314 41.5351732),1984-01-07,1984
704,Colchester School District,Bacon Academy,Public Schools,286111,611 Norwich Ave.,Colchester,6415,860-537-2378,CT,POINT (-72.3021320475728 41.57827565),1984-01-07,1984
705,Stamford School District,Toquam Magnet School,Public Schools,1351911,123 Ridgewood Ave.,Stamford,6907,203-977-4556,CT,POINT (-73.52301201389923 41.081607727003345),1990-01-07,1990
706,East Hartford School District,Anna E. Norris School,Public Schools,430911,40 Remington Rd.,East Hartford,6108,860-622-5740,CT,POINT (-72.63022120208947 41.78539815),1984-01-07,1984
708,Salem School District,Salem Elementary School,Public Schools,1210111,200 Hartford Rd.,Salem,6420,860-859-0267,CT,POINT (-72.273801 41.4879775),1984-01-07,1984
709,North Haven School District,North Haven Middle School,Public Schools,1015211,55 Bailey Rd.,North Haven,6473,203-239-1683,CT,POINT (-72.8609403 41.3740065),1984-01-07,1984
710,Bristol School District,Stafford School,Public Schools,171211,212 Louisiana Ave.,Bristol,6010,860-584-7824,CT,POINT (-72.9175788679558 41.6884296),1998-01-07,1998
711,Milford School District,Jonathan Law High School,Public Schools,846211,20 Lansdale Ave.,Milford,6460,203-783-3574,CT,POINT (-73.08749833695573 41.203746662083255),1984-01-07,1984
712,Tolland School District,Tolland Middle School,Public Schools,1425111,1 Falcon Way,Tolland,6084,860-870-6860,CT,POINT (-72.3491967693308 41.87186425),1984-01-07,1984
713,Preston School District,Preston Veterans' Memorial School,Public Schools,1140411,325 Shetucket Tpke.,Preston,6365,860-887-3113,CT,POINT (-71.98486429957856 41.52967675),2002-01-07,2002
714,New Britain School District,House of Arts Letters and Science (HALS) Academy,Public Schools,895411,40 Goodwin St,New Britain,6051,860-826-1866,CT,POINT (-72.7617184 41.6652797),2006-01-07,2006
715,Bridgeport School District,Park City Magnet School,Public Schools,151711,1526 Chopsey Hill Rd.,Bridgeport,6606,203-576-7547,CT,POINT (-73.20028561346308 41.2210732),1984-01-07,1984
716,Easton School District,Helen Keller Middle School,Public Schools,465111,360 Sport Hill Rd.,Easton,6612,203-268-8651,CT,POINT (-73.2715612721309 41.2446712),1984-01-07,1984
717,Enfield School District,Enfield School District,Public School Districts,490011,1010 Enfield Street,Enfield,6082,860-253-6500,CT,POINT (-72.59505734664309 41.99387325),1996-01-07,1996
718,Regional School District 01,Regional School District 01,Regional School Districts,2010012,246 Warren Turnpike Road,Falls Village,6031,860-824-0855,CT,POINT (-73.36156920408163 41.938168591836735),2002-01-07,2002
719,Waterbury School District,H. S. Chase School,Public Schools,1510711,40 Woodtick Rd.,Waterbury,6705,203-574-8188,CT,POINT (-73.00570537671362 41.552921),1984-01-07,1984
720,Side By Side Charter School District,Side By Side Charter School District,Public Charter School Districts,2700013,10 Chestnut St.,Norwalk,6854,203-857-0306,CT,POINT (-73.42015756366737 41.09598684185112),1999-01-07,1999
723,Waterbury School District,North End Middle School,Public Schools,1515311,534 Bucks Hill Rd.,Waterbury,6704,203-574-8097,CT,POINT (-73.0289803 41.6040478),1984-01-07,1984
724,Southington School District,Walter A. Derynoski Elementary School,Public Schools,1311511,240 Main St.,Southington,6489,860-628-3286,CT,POINT (-72.8786575 41.5963214),1984-01-07,1984
725,West Hartford School District,Morley School,Public Schools,1550911,77 Bretton Rd.,West Hartford,6119,860-233-8535,CT,POINT (-72.73246533182143 41.76895795),1984-01-07,1984
726,Wolcott School District,Tyrrell Middle School,Public Schools,1665111,500 Todd Rd.,Wolcott,6716,203-879-8151,CT,POINT (-72.968134 41.5561916),1997-01-07,1997
727,Orange School District,Peck Place School,Public Schools,1070511,500 Peck Ln.,Orange,6477,203-891-8034,CT,POINT (-73.03058423036813 41.2648454),1984-01-07,1984
728,Cromwell School District,Woodside Intermediate School,Public Schools,330311,30 Woodside Rd.,Cromwell,6416,860-632-3564,CT,POINT (-72.65859125291057 41.62435675),2006-01-07,2006
729,East Granby School District,R. Dudley Seymour School,Public Schools,400211,185 Hartford Ave.,East Granby,6026,860-653-7214,CT,POINT (-72.7689739 41.9321648),1984-01-07,1984
730,Brooklyn School District,Brooklyn Elementary School,Public Schools,190111,119 Gorman Rd.,Brooklyn,6234,860-774-7577,CT,POINT (-71.93643000185398 41.78538985),1984-01-07,1984
731,Groton School District,Catherine Kolnaski Magnet School,Public Schools,592011,500 Poquonnock Rd.,Groton,6340,860-449-5608,CT,POINT (-72.0618713 41.3475847),2008-07-01,2008
732,Middletown School District,Bielefield School,Public Schools,830211,70 Maynard St.,Middletown,6457,860-347-4124,CT,POINT (-72.63257181582625 41.54158005),1984-01-07,1984
733,Watertown School District,Swift Middle School,Public Schools,1535111,250 Colonial St.,Oakville,6779,860-945-4830,CT,POINT (-73.09189892533848 41.586018),1984-01-07,1984
734,Regional School District 12,Booth Free School,Regional Schools,2120212,14 South St.,Roxbury,6783,860-354-9391,CT,POINT (-73.3076964 41.5550176),2002-01-07,2002
735,Capitol Region Education Council,Academy of Aerospace and Engineering Elementary,Regional Education Service Center Schools,2410714,7 Gardner Way,Rocky Hill,6067,860-529-1652,CT,POINT (-72.65730174865419 41.64059855),,
736,Waterbury School District,Reed School,Public Schools,1513411,33 Griggs Street,Waterbury,6704,203-574-8180,CT,POINT (-73.02739125416134 41.56562815),,
737,Plainville School District,Plainville High School,Public Schools,1106111,47 Robert Holcomb Way,Plainville,6062,860-793-3220,CT,POINT (-72.8584712 41.6658702),1984-01-07,1984
738,New Britain School District,New Britain High School,Public Schools,896111,110 Mill St.,New Britain,6051,860-225-6300,CT,POINT (-72.77810630816322 41.64997335),1984-01-07,1984
739,Wethersfield School District,Highcrest School,Public Schools,1591111,95 Highcrest Rd.,Wethersfield,6109,860-571-8380,CT,POINT (-72.68440280497376 41.6803284),1984-01-07,1984
740,Department of Mental Health and Addiction Services,Capitol Region Mental Health Center,State Agency Facilities,3370615,500 Vine St.,Hartford,6112,860-262-7175,CT,POINT (-72.68755284132294 41.7964101),2007-01-07,2007
741,Chester School District,Chester School District,Public School Districts,260011,1 Winthrop Road,Deep River,6417,860-526-2417,CT,POINT (-72.4562226 41.3646322),1996-01-07,1996
742,Hebron School District,Gilead Hill School,Public Schools,670211,580 Gilead St.,Hebron,6248,860-228-9458,CT,POINT (-72.4090826 41.676581),1984-01-07,1984
743,West Haven School District,Alma E. Pagels School,Public Schools,1560811,26 Benham Hill Rd.,West Haven,6516,203-931-6840,CT,POINT (-72.987601 41.2427245),1984-01-07,1984
744,Office of Early Childhood (OEC),Office of Early Childhood (OEC),State Agencies,3490015,460 Capitol Avenue,Hartford,6106,860-418-6148,CT,POINT (-72.6912879 41.7638176),2000-01-07,2000
745,Southington School District,Urbin T. Kelley School,Public Schools,1311411,501 Ridgewood Rd.,Southington,6489,860-628-3310,CT,POINT (-72.894021 41.6085607),1984-01-07,1984
746,Norwalk School District,Tracey Magnet School,Public Schools,1031411,20 Camp Street,Norwalk,6851,203-899-2960,CT,POINT (-73.41244977674646 41.12438205),1984-01-07,1984
747,Regional School District 07,Regional School District 07,Regional School Districts,2070012,100 Battistoni Drive,Winsted,6098,860-379-1084,CT,POINT (-73.0477852 41.9152045),2002-01-07,2002
748,Portland School District,Gildersleeve School,Public Schools,1130411,565 Main St.,Portland,6480,860-342-0411,CT,POINT (-72.62098362914814 41.59143145),1984-01-07,1984
749,Regional School District 13,Middlefield Memorial School,Regional Schools,2130412,124 Hubbard St.,Middlefield,6455,860-349-7235,CT,POINT (-72.6927029 41.5229928),2002-01-07,2002
750,Fairfield School District,Fairfield Warde High School,Public Schools,516211,755 Melville Ave.,Fairfield,6825,203-255-8449,CT,POINT (-73.235122 41.1861834),1984-01-07,1984
751,Union School District,Union School,Public Schools,1450111,18 Kinney Hollow Rd.,Union,6076,860-684-3146,CT,POINT (-72.1619602 41.9873427),1984-01-07,1984
752,South Windsor School District,Timothy Edwards School,Public Schools,1325111,100 Arnold Way,South Windsor,6074,860-648-5030,CT,POINT (-72.525509 41.8264703),1984-01-07,1984
753,Wallingford School District,Rock Hill School,Public Schools,1480411,910 Old Rock Hill Road,Wallingford,6492,203-294-6260,CT,POINT (-72.78886489869501 41.4552776),1984-01-07,1984
754,Windsor Locks School District,South Elementary School,Public Schools,1650411,87 South St.,Windsor Locks,6096,860-292-5021,CT,POINT (-72.63887963966538 41.92052955),1984-01-07,1984
755,East Haven School District,East Haven School District,Public School Districts,440011,35 Wheelbarrow Lane,East Haven,6513,203-468-3261,CT,POINT (-72.83153525098547 41.3299067),1996-01-07,1996
756,Norfolk School District,Botelle Elementary School,Public Schools,980111,128 Greenwoods Rd. East,Norfolk,6058,860-542-5286,CT,POINT (-73.1881248 41.9874448),1984-01-07,1984
758,Wethersfield School District,Wethersfield High School,Public Schools,1596111,411 Wolcott Hill Rd.,Wethersfield,6109,860-571-8200,CT,POINT (-72.67134478944872 41.707785),1984-01-07,1984
759,Greenwich School District,Glenville School,Public Schools,570411,33 Riversville Rd.,Greenwich,6831,203-531-9287,CT,POINT (-73.66198457843898 41.03987615),1984-01-07,1984
760,Clinton School District,The Morgan School,Public Schools,276111,71 Killingworth Tpke.,Clinton,6413,860-664-6504,CT,POINT (-72.5301117 41.2997035),1984-01-07,1984
761,Capitol Region Education Council,CREC Preschool at Progress Drive,Regional Education Service Center Schools,2412114,123 Progress Drive,Wethersfield,6109,860-240-6615,CT,POINT (-72.69917104428814 41.70155365),2023-03-07,2023
762,New Haven School District,Bishop Woods Architecture and Design Magnet School,Public Schools,934311,1481 Quinnipiac Avenue,New Haven,6513,475-220-7300,CT,POINT (-72.86916770731386 41.3272652),1984-01-07,1984
763,Windham School District,North Windham School,Public Schools,1630311,112 Jordan Ln.,North Windham,6256,860-465-2400,CT,POINT (-72.15620011330039 41.7406126),1987-01-07,1987
764,Granby School District,Wells Road Intermediate School,Public Schools,560311,134 Wells Rd.,Granby,6035,860-844-3048,CT,POINT (-72.8083716 41.9909583),1984-01-07,1984
766,Ansonia School District,Mead School,Public Schools,20311,75 Ford St.,Ansonia,6401,203-736-5090,CT,POINT (-73.0508116 41.3378322),1984-01-07,1984
767,Fairfield School District,Mill Hill School,Public Schools,510711,635 Mill Hill Terrace,Southport,6890,203-255-8320,CT,POINT (-73.28293323967043 41.14476875),1990-01-07,1990
768,Torrington School District,Forbes School,Public Schools,1430211,500 Migeon Ave.,Torrington,6790,860-489-2500,CT,POINT (-73.1324592 41.8129996),1986-01-07,1986
769,Naugatuck School District,City Hill Middle School,Public Schools,885111,441 City Hill St.,Naugatuck,6770,203-720-5246,CT,POINT (-73.0362181 41.4933049),1984-01-07,1984
770,Manchester School District,Elisabeth M. Bennet Academy,Public Schools,771711,1151 Main St.,Manchester,6040,860-647-3571,CT,POINT (-72.5196792 41.76591),,
771,Manchester School District,Bowers School,Public Schools,770111,141 Princeton Street,Manchester,6042,860-647-3313,CT,POINT (-72.50966429360825 41.78880805),1984-01-07,1984
772,East Windsor School District,East Windsor School District,Public School Districts,470011,70 South Main Street,East Windsor,6088,860-623-3346,CT,POINT (-72.6115988 41.9011287),1996-01-07,1996
773,Bridgeport School District,James J. Curiale School,Public Schools,154211,300 Laurel Ave.,Bridgeport,6604,203-576-8437,CT,POINT (-73.205037 41.1759428),1984-01-07,1984
774,Norwich School District,Wequonnoc Magnet School,Public Schools,1041511,155 Providence St.,Taftville,6380,860-823-4210,CT,POINT (-72.05498207536826 41.5694235),1984-01-07,1984
775,Waterford School District,Waterford School District,Public School Districts,1520011,15 Rope Ferry Road,Waterford,6385,860-444-5801,CT,POINT (-72.1309685 41.3428678),1996-01-07,1996
776,Danbury School District,Great Plain School,Public Schools,341111,10 Stadley Rough Rd.,Danbury,6811,203-797-4749,CT,POINT (-73.4346579 41.4208693),1984-01-07,1984
777,Bloomfield School District,Wintonbury Early Childhood Magnet School,Public Schools,110811,44 Brown Street,Bloomfield,6002,860-769-5510,CT,POINT (-72.7459985 41.8382867),2009-01-07,2009
778,Norwich School District,Kelly STEAM Magnet Middle School,Public Schools,1045111,25 Mahan Dr.,Norwich,6360,860-823-4211,CT,POINT (-72.07955853302192 41.5468357),1984-01-07,1984
780,Regional School District 15,Gainfield Elementary School,Regional Schools,2150412,307 Old Field Rd.,Southbury,6488,203-264-5312,CT,POINT (-73.2226951 41.4793467),2002-01-07,2002
