District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,Student Open Date,School ID,State
Litchfield School District,Center School,Public Schools,740211,"125 West St., P.O. Box 110",Litchfield,6759,860-567-7510,01-07-1984,421,CT
Capitol Region Education Council,Academy of International Studies 6-12,Regional Education Service Center Schools,2416114,1551 Blue Hills Ave.,Bloomfield,6002,860-242-7834,01-07-2000,422,CT
Naugatuck School District,Maple Hill School,Public Schools,880311,641 Maple Hill Rd.,Naugatuck,6770,203-720-5236,01-07-1989,423,CT
Willington School District,Hall Memorial School,Public Schools,1605111,111 River Rd.,West Willington,6279,860-429-9391,01-07-1997,424,CT
Trumbull School District,Trumbull School District,Public School Districts,1440011,6254 Main Street,Trumbull,6611,203-452-4301,01-07-1996,425,CT
Brooklyn School District,Brooklyn Middle School,Public Schools,195111,119 Gorman Rd.,Brooklyn,6234,860-774-9153,01-07-1984,426,CT
Groton School District,Charles Barnum Magnet School,Public Schools,591811,68 Briar Hill Rd.,Groton,6340,860-449-5640,01-07-1984,427,CT
Milford School District,Milford School District,Public School Districts,840011,70 West River Street,Milford,6460,203-783-3402,01-07-1996,428,CT
Enfield School District,Eli Whitney School,Public Schools,491611,94 Middle Rd.,Enfield,6082,860-763-7540,01-07-1984,429,CT
Wallingford School District,Mary G. Fritz Elementary School of Yalesville,Public Schools,1480811,415 Church Street,Yalesville,6492,203-284-6900,01-07-1984,430,CT
Achievement First Bridgeport Academy District,Achievement First Bridgeport Academy,Public Charter Schools,2850113,655 Stillman St.,Bridgeport,6608,203-338-0593,02-08-2007,431,CT
Woodstock School District,Woodstock Middle School,Public Schools,1695111,147 B-Route 169,Woodstock,6281,860-963-6575,01-07-1995,432,CT
Regional School District 15,Pomperaug Regional High School,Regional Schools,2156212,234 Judd Rd.,Southbury,6488,203-262-3200,01-07-2002,433,CT
Monroe School District,Fawn Hollow Elementary School,Public Schools,850511,375 Fan Hill Rd.,Monroe,6468,203-452-2923,01-07-1984,434,CT
Cheshire School District,Darcey School,Public Schools,250211,1686 Waterbury Rd.,Cheshire,6410,203-272-3577,01-07-1984,435,CT
East Haven School District,Momauguin School,Public Schools,440711,99 Cosey Beach Rd.,East Haven,6512,203-468-3321,01-07-1984,436,CT
Guilford School District,Guilford High School,Public Schools,606111,605 New England Rd.,Guilford,6437,203-453-2741,01-07-1984,437,CT
Watertown School District,Watertown High School,Public Schools,1536111,324 French St.,Watertown,6795,860-945-4810,01-07-1984,438,CT
Bridgeport School District,Wilbur Cross School,Public Schools,153911,1775 Reservoir Ave.,Bridgeport,6606,203-275-2100,01-07-1984,439,CT
New Haven School District,Brennan Rogers School,Public Schools,932111,200 Wilmot Rd.,New Haven,6515,475-220-2200,01-07-2010,440,CT
Simsbury School District,Latimer Lane School,Public Schools,1280611,33 Mountain View Rd.,Weatogue,6089,860-658-4774,01-07-1984,441,CT
Unified School District #1,Brooklyn Correctional Institution,State Agency Facilities,3360215,"59 Hartford Rd, P.O. Box 297 Route 6",Brooklyn,6234,860-779-2600,01-07-2000,442,CT
Derby School District,Derby High School,Public Schools,376111,75 Chatfield Street,Derby,6418,203-736-5032,01-07-1984,443,CT
New Haven School District,New Haven School District,Public School Districts,930011,54 Meadow Street,New Haven,6519,475-220-1000,01-07-1996,444,CT
Oxford School District,Oxford School District,Public School Districts,1080011,462 Oxford Road,Oxford,6478,203-888-7754,01-07-1996,445,CT
Waterbury School District,Duggan School,Public Schools,1511611,952 Bank Street,Waterbury,6708,203-574-8875,15-08-2011,446,CT
Plymouth School District,Plymouth School District,Public School Districts,1110011,27 N Harwinton Ave,Terryville,6786,860-314-8005,01-07-1996,447,CT
Regional School District 15,Regional School District 15,Regional School Districts,2150012,"286 Whittemore Road, Box 395",Middlebury,6762,203-758-8259,01-07-2002,448,CT
Milford School District,Live Oaks School,Public Schools,841611,575 Merwin Ave.,Milford,6460,203-783-3564,01-07-1984,449,CT
Norwalk School District,Wolfpit Integrated Arts Elementary School,Public Schools,1032411,One Starlight  Drive,Norwalk,6851,203-899-2980,01-07-1984,450,CT
New Canaan School District,Saxe Middle School,Public Schools,905111,468 South Ave.,New Canaan,6840,203-594-4564,01-07-1984,451,CT
Monroe School District,Jockey Hollow School,Public Schools,855211,365 Fan Hill Rd.,Monroe,6468,203-452-2905,01-07-1998,452,CT
Windsor Locks School District,Windsor Locks Middle School,Public Schools,1655111,7 Center St.,Windsor Locks,6096,860-292-5012,01-07-1984,453,CT
Judicial Centers,Hartford Residential Center,State Agency Facilities,3480315,920 Broad St.,Hartford,6106,860-244-7965,14-05-2009,454,CT
New London School District,New London Visual and Performing Arts Magnet School,Public Schools,951411,36 Waller Street,New London,6320,860-449-6800,01-09-2016,455,CT
Plainfield School District,Plainfield High School,Public Schools,1096111,"105 Putnam Road, P.O. Box 218",Central Village,6332,860-564-6417,01-07-1984,456,CT
Regional School District 06,Goshen Center School,Regional Schools,2060112,50 North St.,Goshen,6756,860-491-6020,01-07-2002,457,CT
Westport School District,Westport School District,Public School Districts,1580011,110 Myrtle Avenue,Westport,6880,203-341-1025,01-07-1996,458,CT
New Beginnings Inc Family Academy District,New Beginnings Inc Family Academy District,Public Charter School Districts,2800013,184 Garden St.,Bridgeport,6605,203-384-2897,01-07-2002,459,CT
New Haven School District,Nathan Hale School,Public Schools,931411,480 Townsend Ave.,New Haven,6512,475-220-4200,01-07-1984,460,CT
East Hartford School District,Dr. Franklin H. Mayberry School,Public Schools,430611,101 Great Hill Rd.,East Hartford,6108,860-622-5720,01-07-1984,461,CT
Redding School District,Redding School District,Public School Districts,1170011,654 Morehouse Road,Easton,6612,203-261-2513,01-07-1996,462,CT
North Haven School District,North Haven High School,Public Schools,1016111,221 Elm Street,North Haven,6473,203-239-1641,01-07-1984,463,CT
Thomaston School District,Thomaston School District,Public School Districts,1400011,185 Branch Road,Thomaston,6787,860-283-3053,01-07-1996,464,CT
Hartford School District,Bulkeley High School,Public Schools,647111,395 Lyme Street,Hartford,6112,860-695-1011,01-07-2009,465,CT
Capitol Region Education Council,Montessori Magnet School,Regional Education Service Center Schools,2413114,1460 Broad St.,Hartford,6106,860-757-6100,01-07-2000,466,CT
Norwalk School District,Norwalk High School,Public Schools,1036111,23 Calvin Murphy Drive,Norwalk,6851,203-838-4481,01-07-1984,467,CT
Winchester School District,Pearson School,Public Schools,1625111,2 Wetmore Ave.,Winsted,6098,860-379-7588,01-07-1997,468,CT
Regional School District 18,Lyme-Old Lyme High School,Regional Schools,2186112,69 Lyme St.,Old Lyme,6371,860-434-1651,01-07-2002,469,CT
Wethersfield School District,Silas Deane Middle School,Public Schools,1595211,551 Silas Deane Hwy.,Wethersfield,6109,860-571-8300,01-07-1984,470,CT
Preston School District,Preston Plains School,Public Schools,1145111,1 Route 164,Preston,6365,860-889-3831,01-07-1997,471,CT
New Britain School District,Smalley Elementary School,Public Schools,891211,175 West St.,New Britain,6051,860-225-8647,01-07-1984,472,CT
Side By Side Charter School District,Side By Side Charter School,Public Charter Schools,2700113,10 Chestnut St.,Norwalk,6854,203-857-0306,01-07-1997,473,CT
Shelton School District,Shelton School District,Public School Districts,1260011,"Po Box 846, 124 Meadow St",Shelton,6484,203-924-1023,01-07-1996,474,CT
Connecticut Technical Education and Career System,Emmett O'Brien Technical High School,CT Technical Education and Career Schools,9002516,141 Prindle Ave.,Ansonia,6401,203-732-1800,01-07-2000,475,CT
Learn,The Friendship School,Regional Education Service Center Schools,2450214,24 Rope Ferry Rd.,Waterford,6385,860-447-4049,01-07-2005,476,CT
Norwich School District,Thomas W. Mahan School,Public Schools,1041711,94 Salem Tpke.,Norwich,6360,860-823-4205,01-07-1984,477,CT
Unified School District #1,Corrigan/Radgowski Correctional Institution,State Agency Facilities,3362415,986 Norwich-New London Tpke.,Uncasville,6382,860-848-5729,01-07-2000,478,CT
Regional School District 12,The Burnham School,Regional Schools,2120112,80 Main St.,Bridgewater,6752,860-354-5559,01-07-2002,479,CT
Regional School District 09,Regional School District 09,Regional School Districts,2090012,"654 Morehouse Road, PO Box 500",Easton,6612,203-261-2513,01-07-2002,480,CT
Meriden School District,Washington Middle School,Public Schools,805411,1225 North Broad St.,Meriden,6450,203-235-6606,01-07-1984,481,CT
Wethersfield School District,Samuel B. Webb Elementary School,Public Schools,1591211,51 Willow St.,Wethersfield,6109,860-571-8340,01-07-1997,482,CT
Danbury School District,King Street Intermediate School,Public Schools,341711,151 South King St.,Danbury,6811,203-797-4761,01-07-1984,483,CT
Waterbury School District,Rotella Interdistrict Magnet School,Public Schools,1513311,380 Pierpont Rd.,Waterbury,6705,203-574-8168,01-07-1999,484,CT
Rocky Hill School District,West Hill School,Public Schools,1190511,95 Cronin Dr.,Rocky Hill,6067,860-258-7761,01-07-1984,485,CT
Avon School District,Avon Middle School,Public Schools,45111,375 West Avon Rd.,Avon,6001,860-404-4770,01-07-1984,486,CT
Cheshire School District,Cheshire High School,Public Schools,256111,525 South Main St.,Cheshire,6410,203-250-2511,01-07-1984,487,CT
Windham School District,Windham Center School,Public Schools,1630511,"45 North Rd., P.O. Box 138",Windham,6280,860-465-2440,01-07-1984,488,CT
New Haven School District,James Hillhouse High School,Public Schools,936211,480 Sherman Parkway,New Haven,6511,475-220-7500,01-07-1984,489,CT
Bolton School District,Bolton High School,Public Schools,126111,72 Brandy St.,Bolton,6043,860-643-2768,01-07-1984,490,CT
South Windsor School District,Eli Terry School,Public Schools,1320711,569 Griffin Rd.,South Windsor,6074,860-648-5020,01-07-1984,491,CT
Hartford School District,Webster Micro Society Magnet School,Public Schools,642011,5 Cone Street,Hartford,6105,860-695-5380,01-07-1984,492,CT
Naugatuck School District,Western School,Public Schools,880711,108 Pine St.,Naugatuck,6770,203-720-5244,01-07-1984,493,CT
Newtown School District,Newtown Middle School,Public Schools,975111,11 Queen St.,Newtown,6470,203-426-7638,01-07-1984,494,CT
Clinton School District,Jared Eliot School,Public Schools,275111,69 Fairy Dell Rd.,Clinton,6413,860-664-6503,01-07-1997,495,CT
Cheshire School District,Dodd Middle School,Public Schools,255111,100 Park Place,Cheshire,6410,203-272-3249,01-07-1984,496,CT
Hamden School District,Dunbar Hill School,Public Schools,620311,315 Lane St.,Hamden,6514,203-407-2025,01-07-1984,497,CT
East Lyme School District,East Lyme High School,Public Schools,456111,30 Chesterfield Rd.,East Lyme,6333,860-739-6946,01-07-1984,498,CT
Brookfield School District,Whisconier Middle School,Public Schools,185311,17 West Whisconier Rd.,Brookfield,6804,203-775-7710,01-07-1997,499,CT
East Windsor School District,East Windsor High School,Public Schools,476111,76 South Main St.,East Windsor,6088,860-623-3361,01-07-1984,500,CT
Unified School District #2,Unified School District #2,State Agencies,3470015,505 Hudson Street,Hartford,6106,860-550-6416,01-07-2000,501,CT
Stamford School District,Strawberry Hill an ext. of Rogers International,Public Schools,1350711,200 Strawberry Hill Ave.,Stamford,6902,203-977-6600,01-07-2016,502,CT
Ansonia School District,Ansonia School District,Public School Districts,20011,42 Grove Street,Ansonia,6401,203-736-5095,01-07-1996,503,CT
Regional School District 16,Long River Middle School,Regional Schools,2165112,38 Columbia Ave.,Prospect,6712,203-758-4421,01-07-2002,504,CT
West Hartford School District,West Hartford School District,Public School Districts,1550011,50 South Main Street,West Hartford,6107,860-561-6600,01-07-1996,505,CT
Fairfield School District,McKinley School,Public Schools,510611,60 Thompson St.,Fairfield,6825,203-255-8318,01-07-1984,506,CT
Norwalk School District,Kendall College & Career Academy,Public Schools,1030811,57 Fillow Street,Norwalk,6850,203-899-2880,01-07-1984,507,CT
Hartford School District,M. D. Fox School,Public Schools,640811,470 Maple Avenue,Hartford,6114,860-695-7790,01-07-1984,508,CT
Stamford School District,Cloonan School,Public Schools,1355611,11 West North St.,Stamford,6902,203-977-4544,01-07-1984,509,CT
East Hampton School District,East Hampton School District,Public School Districts,420011,1 Community Dr Ste 1,East Hampton,6424,860-365-4000,01-07-1996,510,CT
New Britain School District,Chamberlain Elementary School,Public Schools,890311,221 Farmington Ave.,New Britain,6053,860-832-5691,01-07-1984,511,CT
Greenwich School District,Old Greenwich School,Public Schools,570911,825 Sound Beach Ave.,Old Greenwich,6870,203-637-0150,01-07-1984,512,CT
New Haven School District,Hill Central Music Academy,Public Schools,930711,140 Dewitt St.,New Haven,6519,475-220-6100,01-07-1984,513,CT
Norwich School District,Moriarty Magnet School,Public Schools,1042011,20 Lawlor Ln.,Norwich,6360,860-823-4206,01-07-1984,514,CT
Southington School District,William M. Strong Elementary School,Public Schools,1310811,820 Marion Ave.,Plantsville,6479,860-628-3314,01-07-1984,515,CT
Regional School District 10,Harwinton Consolidated School,Regional Schools,2100312,115 Litchfield Rd.,Hawrinton,6791,860-485-9029,01-07-2002,516,CT
Hebron School District,Hebron Elementary School,Public Schools,670111,92 Church St.,Hebron,6248,860-228-9465,01-07-1984,517,CT
Regional School District 05,Amity Middle School: Bethany,Regional Schools,2055112,190 Luke Hill Rd.,Bethany,6524,203-393-3102,01-07-2002,518,CT
New Haven School District,Conte/West Hills Magnet School,Public Schools,933111,511 Chapel St.,New Haven,6511,475-220-5400,01-07-1984,519,CT
Regional School District 14,Bethlehem Elementary School,Regional Schools,2140112,92 East St.,Bethlehem,6751,203-266-7506,01-07-2002,520,CT
Unified School District #1,Osborn Correctional Institution,State Agency Facilities,3361215,335 Bilton Road,Somers,6071,860-814-4783,01-07-2000,521,CT
Plainfield School District,Plainfield School District,Public School Districts,1090011,651 Norwich Road,Plainfield,6374,860-564-6403,01-07-1996,522,CT
Woodstock School District,Woodstock School District,Public School Districts,1690011,147 A Route 169,Woodstock,6281,860-928-7453,01-07-1996,523,CT
New Fairfield School District,Meeting House Hill School,Public Schools,910211,24 Gillotti Rd.,New Fairfield,6812,203-312-5905,01-07-1997,524,CT
West Hartford School District,Conard High School,Public Schools,1556111,110 Beechwood Rd.,West Hartford,6107,860-231-5000,01-07-1984,525,CT
Unified School District #1,New Haven Correctional Center,State Agency Facilities,3360915,245 Whalley Ave.,New Haven,6530,203-974-4111,01-07-2000,526,CT
Southington School District,John F. Kennedy Middle School,Public Schools,1315311,1071 South Main St.,Plantsville,6479,860-628-3275,01-07-1984,527,CT
Stamford School District,Roxbury School,Public Schools,1350911,751 Westhill Rd.,Stamford,6902,203-977-4287,01-07-1984,528,CT
New London School District,Winthrop STEM Elementary Magnet School,Public Schools,950811,74 Grove Street,New London,6320,860-447-6070,01-07-1984,529,CT
Old Saybrook School District,Old Saybrook Middle School,Public Schools,1065211,60 Sheffield St.,Old Saybrook,6475,860-395-3168,01-07-1990,530,CT
Ridgefield School District,Ridgefield High School,Public Schools,1186111,700 North Salem Rd.,Ridgefield,6877,203-894-5750,01-07-1984,531,CT
Wallingford School District,Dag Hammarskjold Middle School,Public Schools,1485211,106 Pond Hill Road,Wallingford,6492,203-294-3700,01-07-1984,532,CT
Waterford School District,Clark Lane Middle School,Public Schools,1525111,105 Clark Ln.,Waterford,6385,860-443-2837,01-07-1984,533,CT
Waterbury School District,Gilmartin School,Public Schools,1512611,107 Wyoming Ave.,Waterbury,6706,203-574-8175,01-07-1984,534,CT
Granby School District,Granby School District,Public School Districts,560011,15-B North Granby Road,Granby,6035,860-844-5250,01-07-1996,535,CT
Eastern Connecticut Regional Educational Service Center (EASTCONN),Arts at the Capitol Theater Magnet School (ACT),Regional Education Service Center Schools,2536014,896 Main Street,Willimantic,6226,860-465-5636,04-09-2007,536,CT
Ledyard School District,Gales Ferry School,Public Schools,720211,1858 Route 12,Gales Ferry,6335,860-464-7664,01-07-1984,537,CT
Weston School District,Weston School District,Public School Districts,1570011,24 School Road,Weston,6883,203-221-6550,01-07-1996,538,CT
Simsbury School District,Central School,Public Schools,1280111,29 Massaco St.,Simsbury,6070,860-658-4732,01-07-1984,539,CT
North Haven School District,Ridge Road Elementary School,Public Schools,1010311,1341 Ridge Rd.,North Haven,6473,203-248-4050,01-07-1984,540,CT
Madison School District,J. Milton Jeffrey Elementary School,Public Schools,760111,331 Copse Rd.,Madison,6443,203-245-6460,01-07-1984,541,CT
New Britain School District,Northend Elementary School,Public Schools,890911,160 Bassett St.,New Britain,6051,860-223-3819,01-07-1984,542,CT
Common Ground High School District,Common Ground High School,Public Charter Schools,2686113,358 Springside Ave.,New Haven,6515,203-389-4333,01-07-1997,543,CT
Manchester School District,Manchester School District,Public School Districts,770011,45 North School Street,Manchester,6042,860-647-3441,01-07-1996,544,CT
Goodwin University Educational Services (GUES),Connecticut River Academy at Goodwin University,College Affiliated Schools,2310118,9 Riverside Drive,East Hartford,6118,860-913-2200,01-07-2021,545,CT
Connecticut Technical Education and Career System,H. H. Ellis Technical High School,CT Technical Education and Career Schools,9001316,613 Upper Maple St.,Danielson,6239,860-412-7500,01-07-2000,546,CT
Stratford School District,Eli Whitney School,Public Schools,1381311,1130 Huntington Road,Stratford,6615,203-385-4198,01-07-1984,547,CT
Danbury School District,South Street School,Public Schools,341011,129 South St.,Danbury,6810,203-797-4787,01-07-1984,548,CT
Bloomfield School District,Metacomet School,Public Schools,110511,185 School St.,Bloomfield,6002,860-286-2660,01-07-2011,549,CT
Bloomfield School District,Carmen Arace Intermediate School,Public Schools,110711,390 Park Avenue,Bloomfield,6002,860-286-2626,01-07-2004,550,CT
Fairfield School District,Burr Elementary School,Public Schools,510211,1960 Burr St.,Fairfield,6824,203-255-7385,01-07-2005,551,CT
Branford School District,Mary T. Murphy School,Public Schools,141411,14 Brushy Plain Rd.,Branford,6405,203-483-1832,01-07-1984,552,CT
Torrington School District,Torrington High School,Public Schools,1436111,50 Major Besse Dr.,Torrington,6790,860-489-2294,01-07-1984,553,CT
Shelton School District,Intermediate School,Public Schools,1265111,675 Constitution Blvd. No.,Shelton,6484,203-926-2000,01-07-1984,554,CT
Farmington School District,Farmington School District,Public School Districts,520011,One Monteith Drive,Farmington,6032,860-673-8270,01-07-1996,555,CT
Bridgeport School District,Information Technology & Software Engineering Magnet High School,Public Schools,151511,840 Old Town Road,Bridgeport,6606,203-275-3372,29-08-2013,556,CT
New Haven School District,Sound School,Public Schools,936711,60 South Water St.,New Haven,6519,475-220-2300,01-07-1995,557,CT
Darien School District,Royle Elementary School,Public Schools,350511,133 Mansfield Ave.,Darien,6820,203-655-0044,01-07-1984,558,CT
Plymouth School District,Eli Terry Jr. Middle School,Public Schools,1115111,21 North Main Street,Terryville,6786,860-314-2790,01-07-1984,559,CT
Glastonbury School District,Smith Middle School,Public Schools,545211,216 Addison Rd.,Glastonbury,6033,860-652-7040,01-07-1984,560,CT
Berlin School District,Berlin School District,Public School Districts,70011,238 Kensington Road,Berlin,6037,860-828-6581,01-07-1996,561,CT
Marlborough School District,Marlborough School District,Public School Districts,790011,25 School Drive,Marlborough,6447,860-295-6236,01-07-1996,562,CT
Coventry School District,Coventry Grammar School,Public Schools,320211,3453 Main Street,Coventry,6238,860-742-7313,01-07-1984,563,CT
Hartford School District,STEM Magnet at Annie Fisher School,Public Schools,642511,280 Plainfield Street,Hartford,6112,860-695-3500,01-07-1984,564,CT
Seymour School District,Chatfield-LoPresti School,Public Schools,1240211,51 Skokorat St.,Seymour,6483,203-888-4640,05-09-2012,565,CT
Newtown School District,Sandy Hook Elementary School,Public Schools,970211,12 Dickinson Drive,Sandy Hook,6482,203-426-7657,01-07-1984,566,CT
New London School District,C.B. Jennings International Elementary Magnet,Public Schools,950311,50 Mercer Street,New London,6320,860-447-6050,01-07-1984,567,CT
Amistad Academy District,Amistad Academy,Public Charter Schools,2795113,130 Edgewood Avenue,New Haven,6511,203-772-7000,01-07-1999,568,CT
Stratford School District,Chapel School,Public Schools,1380311,380 Chapel Street,Stratford,6614,203-385-4192,01-07-1984,569,CT
New Haven School District,Roberto Clemente Leadership Academy for Global Awareness,Public Schools,934211,360 Columbus Avenue,New Haven,6519,475-220-7600,01-07-2003,570,CT
Waterbury School District,Walsh School,Public Schools,1512211,55 Dikeman Street,Waterbury,6704,203-574-8164,01-07-1984,571,CT
Westport School District,Saugatuck Elementary School,Public Schools,1580811,170 Riverside Ave.,Westport,6880,203-221-2910,01-07-2002,572,CT
Danbury School District,Rogers Park Middle School,Public Schools,345211,21 Memorial Dr.,Danbury,6810,203-797-4881,01-07-1984,573,CT
Litchfield School District,Litchfield High School,Public Schools,746111,"14 Plumb Hill Road, P.O. Box 110",Litchfield,6759,860-567-7530,01-07-1984,574,CT
Windsor School District,Clover Street School,Public Schools,1640111,57 Clover St.,Windsor,6095,860-687-2050,01-07-1984,575,CT
Portland School District,Valley View School,Public Schools,1130211,81 High St.,Portland,6480,860-342-3131,01-07-1984,576,CT
Derby School District,Bradley School,Public Schools,370611,155 David Humphreys Rd.,Derby,6418,203-736-5040,01-07-1984,577,CT
Killingly School District,Killingly School District,Public School Districts,690011,"PO BOX 210, 79 Westfield Avenue",Danielson,6239,860-779-6600,01-07-1996,578,CT
Seymour School District,Bungay School,Public Schools,1240111,35 Bungay Rd.,Seymour,6483,203-881-7500,01-07-1984,579,CT
Berlin School District,Berlin High School,Public Schools,76111,139 Patterson Way,Berlin,6037,860-828-6577,01-07-1984,580,CT
Branford School District,Branford School District,Public School Districts,140011,185 Damascus Road,Branford,6405,203-488-7276,01-07-1996,581,CT
Thompson School District,Thompson Middle School,Public Schools,1415111,785 Riverside Dr.,North Grosvenordale,6255,860-923-9380,01-07-1984,582,CT
Area Cooperative Educational Services,Area Cooperative Educational Services,Regional Education Service Center School Districts,2440014,350 State Street,North Haven,6473,203-498-6817,01-07-2000,583,CT
Southington School District,Joseph A. Depaolo Middle School,Public Schools,1315111,385 Pleasant St.,Southington,6489,860-628-3260,01-07-1984,584,CT
Farmington School District,Farmington High School,Public Schools,526111,10 Monteith Dr,Farmington,6032,860-673-2514,01-07-1984,585,CT
Shelton School District,Booth Hill School,Public Schools,1261011,544 Booth Hill Rd.,Shelton,6484,203-929-5625,01-07-1984,586,CT
Vernon School District,Vernon Center Middle School,Public Schools,1465111,777 Hartford Tpke.,Vernon,6066,860-870-6070,01-07-1984,587,CT
Stratford School District,Stratford Academy - Johnson House,Public Schools,1381511,719 Birdseye Street,Stratford,6615,203-385-4180,01-07-1997,588,CT
Newington School District,Anna Reynolds School,Public Schools,940611,85 Reservoir Rd.,Newington,6111,860-521-7830,01-07-1984,589,CT
Ridgefield School District,Ridgebury Elementary School,Public Schools,1180311,112 Bennett's Farm Rd.,Ridgefield,6877,203-894-5875,01-07-1984,590,CT
Newington School District,John Paterson School,Public Schools,940811,120 Church St.,Newington,6111,860-666-4657,01-07-1984,591,CT
Glastonbury School District,Hebron Avenue School,Public Schools,540411,1363 Hebron Avenue,Glastonbury,6033,860-652-7875,01-07-1984,592,CT
West Haven School District,Edith E. Mackrille School,Public Schools,1560611,806 Jones Hill Rd.,West Haven,6516,203-931-6820,01-07-1984,593,CT
Bridgeport School District,Luis Munoz Marin School,Public Schools,151011,479 Helen St.,Bridgeport,6608,203-576-8202,01-07-1990,594,CT
Canton School District,Canton Middle School,Public Schools,235111,76 Simonds Avenue,Canton,6019,860-693-7712,01-07-2004,595,CT
Cooperative Educational Services,Six-Six Magnet School,Regional Education Service Center Schools,2430114,601 Pearl Harbor St.,Bridgeport,6610,203-365-8200,01-07-2000,596,CT
Farmington School District,Noah Wallace School,Public Schools,520211,2 School St.,Farmington,6032,860-677-1659,01-07-1984,597,CT
East Haddam School District,Nathan Hale-Ray High School,Public Schools,416111,"15 School Drive, P.O. Box 404",Moodus,6469,860-873-5065,01-08-1994,598,CT
Connecticut Technical Education and Career System,Norwich Technical High School,CT Technical Education and Career Schools,9002016,7 Mahan Drive,Norwich,6360,860-889-8453,01-07-2000,599,CT
New Haven School District,Edgewood School,Public Schools,931211,737 Edgewood Ave.,New Haven,6515,475-220-8000,01-07-1984,600,CT
Enfield School District,Enfield High School,Public Schools,496111,1264 Enfield St.,Enfield,6082,860-253-5540,01-07-1984,601,CT
Bethel School District,Anna H. Rockwell School,Public Schools,90411,400 Whittlesey Dr.,Bethel,6801,203-794-8688,01-07-1984,602,CT
Ledyard School District,Juliet W. Long School,Public Schools,720311,1854 Route12,Gales Ferry,6335,860-464-2780,01-07-1984,603,CT
Norwalk School District,Silvermine Dual Language Magnet School,Public Schools,1032311,157 Perry Avenue,Norwalk,6850,203-899-2950,01-07-1984,604,CT
Bridgeport School District,Roosevelt School,Public Schools,152611,680 Park Ave.,Bridgeport,6604,203-576-8032,01-07-1984,605,CT
Hartford School District,University High School of Science and Engineering,Public Schools,646711,351 Mark Twain Drive,Hartford,6112,860-695-9020,01-07-2004,606,CT
Odyssey Community School District,Odyssey Community School District,Public Charter School Districts,2630013,579 Middle Tpke West,Manchester,6040,860-645-1234,01-07-1999,607,CT
Avon School District,Thompson Brook School,Public Schools,40511,150 Thompson Rd.,Avon,6001,860-404-4870,01-07-2002,608,CT
Marlborough School District,Elmer Thienes-Mary Hall Elementary School,Public Schools,790111,25 School Dr.,Marlborough,6447,860-295-6220,01-07-1984,609,CT
Westbrook School District,Westbrook Middle School,Public Schools,1545111,154 McVeagh Rd.,Westbrook,6498,860-399-2010,01-07-1997,610,CT
Hartford School District,Montessori Magnet at Fisher School,Public Schools,643711,280 Plainfield Street,Hartford,6112,860-695-3560,25-08-2008,611,CT
Bridgeport School District,Bryant School,Public Schools,150411,230 Poplar St.,Bridgeport,6605,203-576-7303,01-07-1984,612,CT
New Haven School District,High School In The Community,Public Schools,936611,175 Water St.,New Haven,6511,475-220-6200,01-07-1995,613,CT
Greenwich School District,Parkway School,Public Schools,571111,141 Lower Cross Rd.,Greenwich,6831,203-869-7466,01-07-1992,614,CT
North Branford School District,Totoket Valley Elementary School,Public Schools,990611,1388 Middletown Ave.,Northford,6472,203-484-1455,01-07-1997,615,CT
Stafford School District,Stafford Middle School,Public Schools,1345211,21 Levinthal Run,Stafford Springs,6076,860-684-2785,01-07-1992,616,CT
Columbia School District,Horace W. Porter School,Public Schools,300111,"3 Schoolhouse Road, P.O. Box 166",Columbia,6237,860-228-9493,01-07-1984,617,CT
Ridgefield School District,Scotland Elementary School,Public Schools,1180511,111 Barlow Mountain Rd.,Ridgefield,6877,203-894-5825,01-07-1984,618,CT
Naugatuck School District,Cross Street Intermediate School,Public Schools,880211,120 Cross St.,Naugatuck,6770,203-720-5227,01-07-1984,619,CT
Regional School District 11,Parish Hill High School,Regional Schools,2116112,304 Parish Hill Rd.,Chaplin,6235,860-455-9584,01-07-2002,620,CT
Capitol Region Education Council,University of Hartford Magnet School,Regional Education Service Center Schools,2410214,196 Bloomfield Ave.,West Hartford,6117,860-236-2899,01-07-2001,621,CT
The Woodstock Academy District,The Woodstock Academy,Endowed and Incorporated Academies Schools,9036122,57 Academy Rd.,Woodstock,6281,860-928-6575,01-07-2000,622,CT
Branford School District,Branford High School,Public Schools,146111,185 East Main St.,Branford,6405,203-488-7291,01-07-1984,623,CT
Middletown School District,Moody School,Public Schools,831211,300 Country Club Rd.,Middletown,6457,860-347-2561,01-07-1984,624,CT
Regional School District 17,Haddam-Killingworth Middle School,Regional Schools,2175112,451 Route 81,Killingworth,6419,860-663-1241,01-07-2002,625,CT
Guilford School District,Calvin Leete School,Public Schools,600411,280 South Union St.,Guilford,6437,203-453-2726,01-07-1984,626,CT
Regional School District 17,Killingworth Elementary School,Regional Schools,2170312,340 Route 81,Higganum,6419,860-663-1121,01-07-2002,627,CT
East Lyme School District,East Lyme Middle School,Public Schools,455111,31 Society Rd.,Niantic,6357,860-739-4491,01-07-1984,628,CT
Waterbury School District,John F. Kennedy High School,Public Schools,1516411,422 Highland Ave.,Waterbury,6708,203-574-8153,01-07-1984,629,CT
Stamford School District,Turn of River School,Public Schools,1355511,117 Vine Rd.,Stamford,6905,203-977-4284,01-07-1984,630,CT
