Town,List Year,Avg Assessed Value,Avg Sale Amount,Avg Sales Ratio,Avg Total Crimes,"Avg Crimes per 100,000",Avg Number of Schools,Avg Number of Healthcare facilities,Avg Houses Sold (Condo),Avg Condo Assessed Value,Avg Condo Sale Amount,Avg Condo Sale Ratio,Avg Houses Sold (Single),Avg Single Family Assessed Value,Avg Single Family Sale Amount,Avg Single Family Sale Ratio,geometry
Winchester,2009,123348.67,155709.53,0.82,734.0,596.2,0.0,0.0,6.0,100303.33,140866.67,0.71,9.0,138712.22,165604.78,0.9,POINT(-73.10450029832403 41.918742)
Bethel,2016,186686.0,288771.22,0.71,533.33,255.04,5.0,2.0,26.0,183545.38,290056.69,0.74,34.0,189087.65,287788.21,0.68,POINT(-73.412668 41.372643)
Sherman,2015,293562.5,443943.63,0.83,7.88,17.77,1.0,0.0,0.0,0.0,0.0,0.0,8.0,293562.5,443943.63,0.83,POINT(-73.4956795 41.5792607)
Trumbull,2012,254602.82,353342.65,0.77,1675.82,421.58,9.0,9.0,8.0,252800.0,360687.5,0.7,63.0,254831.75,352409.97,0.78,POINT(-73.2006687 41.2428742)
Salem,2013,123708.33,166881.67,0.85,88.67,198.07,1.0,0.0,1.0,81500.0,114000.0,0.71,11.0,127545.45,171689.09,0.87,POINT(-72.2762084 41.491269)
Newington,2014,132722.0,199316.88,0.72,2600.2,765.39,7.0,4.0,22.0,116496.36,193316.64,0.67,53.0,139457.17,201807.55,0.73,POINT(-72.7237063 41.6978777)
Voluntown,2009,164864.0,172000.0,1.11,75.0,257.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,164864.0,172000.0,1.11,POINT(-71.8703497 41.5706544)
Weston,2011,657133.33,811293.75,0.85,133.63,114.86,4.0,0.0,0.0,0.0,0.0,0.0,24.0,657133.33,811293.75,0.85,POINT(-73.3812743 41.2021302)
New Britain,2014,91879.45,115735.94,0.97,7147.41,861.87,11.0,7.0,17.0,82085.29,84602.06,1.22,111.0,93379.46,120504.19,0.93,POINT(-72.7795419 41.6612104)
Hartford,2015,41359.46,112616.08,0.45,19964.18,1419.42,32.0,13.0,22.0,16596.95,48662.41,0.35,49.0,52477.33,141329.98,0.5,POINT(-72.6908547 41.764582)
Madison,2009,385758.97,451916.23,0.94,690.0,334.7,5.0,0.0,7.0,294214.29,348628.57,0.87,32.0,405784.38,474510.41,0.96,POINT(-72.5983151 41.2794282)
Old Lyme,2012,291621.88,329654.06,1.09,146.81,170.81,0.0,0.0,1.0,399400.0,200000.0,2.0,31.0,288145.16,333836.45,1.06,POINT(-72.3289715 41.3159315)
Hebron,2012,183769.64,271542.82,0.72,129.07,129.17,2.0,0.0,2.0,100520.0,270650.0,0.38,26.0,190173.46,271611.5,0.75,POINT(-72.3659161 41.6578767)
Killingworth,2012,194758.82,257235.29,0.76,44.47,63.65,0.0,0.0,0.0,0.0,0.0,0.0,17.0,194758.82,257235.29,0.76,POINT(-72.5637023 41.3581545)
Lyme,2012,417040.63,445875.0,1.03,39.75,169.83,0.0,0.0,0.0,0.0,0.0,0.0,8.0,417040.63,445875.0,1.03,POINT(-72.35110142568081 41.3910952)
Hartland,2014,196460.0,237333.33,0.95,24.0,102.85,0.0,0.0,0.0,0.0,0.0,0.0,3.0,196460.0,237333.33,0.95,POINT(-72.9795488 41.996206)
Cromwell,2016,156813.68,233468.39,0.72,901.89,605.51,4.0,4.0,20.0,151526.0,228100.0,0.69,18.0,162688.89,239433.28,0.74,POINT(-72.6455665 41.5949942)
Old Saybrook,2010,373227.91,452723.26,0.87,589.67,492.01,3.0,3.0,6.0,124050.0,156250.0,0.71,37.0,413635.14,500800.0,0.9,POINT(-72.3761956 41.2917652)
Granby,2013,168214.62,227188.46,0.85,299.92,249.8,4.0,1.0,2.0,105210.0,82500.0,1.28,24.0,173465.0,239245.83,0.81,POINT(-72.7894272 41.9539032)
Southington,2009,192736.25,265170.25,0.77,2292.0,499.75,8.0,2.0,20.0,139604.5,182825.0,0.78,68.0,208363.24,289389.44,0.76,POINT(-72.8782941 41.6005435)
Haddam,2009,198073.57,280707.14,0.76,180.0,217.85,0.0,1.0,0.0,0.0,0.0,0.0,14.0,198073.57,280707.14,0.76,POINT(-72.5120333 41.4773213)
Meriden,2013,115123.76,141146.34,1.7,4876.67,721.49,11.0,9.0,10.0,68600.0,78380.8,2.27,100.0,119776.14,147422.89,1.64,POINT(-72.8070435 41.5381535)
East Granby,2009,157806.67,273823.33,0.69,156.0,284.78,4.0,0.0,2.0,111100.0,165950.0,0.67,13.0,164992.31,290419.23,0.69,POINT(-72.7273158 41.9412081)
Bolton,2009,180847.5,227552.0,0.89,111.0,191.67,2.0,0.0,0.0,0.0,0.0,0.0,8.0,180847.5,227552.0,0.89,POINT(-72.4334173 41.7689878)
Montville,2017,104223.08,133175.15,0.84,384.0,178.83,0.0,0.0,1.0,47300.0,61200.0,0.77,12.0,108966.67,139173.08,0.84,POINT(-72.1538184 41.4649811)
Shelton,2009,257720.76,309397.23,0.92,1564.0,355.56,7.0,8.0,17.0,202687.06,259450.0,0.79,62.0,272810.65,323092.44,0.95,POINT(-73.150955 41.370196)
Morris,2015,212181.43,290714.29,1.0,24.0,90.08,0.0,0.0,0.0,0.0,0.0,0.0,14.0,212181.43,290714.29,1.0,POINT(-73.1962245 41.6842633)
Seymour,2009,191315.19,259723.19,0.85,629.0,352.55,4.0,1.0,4.0,87395.0,89250.0,1.23,23.0,209388.26,289370.7,0.79,POINT(-73.0741697 41.3943578)
Berlin,2009,495564.36,267115.31,2.13,1083.0,515.01,3.0,0.0,13.0,1120593.08,262456.23,4.72,26.0,183050.0,269444.85,0.83,POINT(-72.7456519 41.621488)
East Haddam,2011,220626.25,253532.88,1.37,379.72,393.14,0.0,0.0,0.0,0.0,0.0,0.0,32.0,220626.25,253532.88,1.37,POINT(-72.4613902 41.4529215)
Southbury,2015,156197.26,235213.71,0.79,434.92,202.43,0.0,6.0,66.0,91444.39,147258.48,0.72,51.0,239995.1,349038.12,0.89,POINT(-73.2131693 41.4814848)
Scotland,2013,109790.0,125000.0,0.88,24.0,133.04,1.0,0.0,0.0,0.0,0.0,0.0,1.0,109790.0,125000.0,0.88,POINT(-72.082083 41.6981999)
Salem,2017,181975.0,265205.63,0.68,45.0,100.71,1.0,0.0,0.0,0.0,0.0,0.0,8.0,181975.0,265205.63,0.68,POINT(-72.2762084 41.491269)
Weston,2017,588780.0,735615.1,0.84,123.0,105.85,4.0,0.0,0.0,0.0,0.0,0.0,10.0,588780.0,735615.1,0.84,POINT(-73.3812743 41.2021302)
Willington,2009,131738.75,274150.0,0.53,138.0,200.6,0.0,0.0,1.0,146950.0,206500.0,0.71,7.0,129565.71,283814.29,0.5,POINT(-72.2598935 41.874428)
Oxford,2009,256111.25,433189.06,0.62,280.0,246.96,3.0,0.0,5.0,173124.0,413225.0,0.42,11.0,293832.73,442263.64,0.71,POINT(-73.1172769 41.4351795)
Prospect,2016,171236.94,259099.5,0.7,183.42,181.97,0.0,1.0,7.0,154704.29,313905.14,0.51,29.0,175227.59,245870.55,0.75,POINT(-72.9787163 41.5023192)
Norwalk,2015,387678.63,577336.88,1.02,5358.97,558.17,16.0,11.0,76.0,253430.39,374820.72,0.68,178.0,444998.1,663804.45,1.17,POINT(-73.4078968 41.1175966)
Franklin,2010,246560.0,329500.0,0.75,66.0,310.88,0.0,0.0,0.0,0.0,0.0,0.0,1.0,246560.0,329500.0,0.75,POINT(-72.1459112 41.6089873)
Pomfret,2014,206195.0,241405.3,0.89,47.4,107.65,0.0,0.0,0.0,0.0,0.0,0.0,10.0,206195.0,241405.3,0.89,POINT(-71.9625736 41.8975977)
Watertown,2009,161859.26,195898.26,0.99,1311.0,524.26,2.0,1.0,1.0,150200.0,175000.0,0.86,26.0,162307.69,196702.04,0.99,POINT(-73.1181658 41.6062078)
Columbia,2014,184853.48,220060.87,1.36,74.91,130.04,0.0,0.0,0.0,0.0,0.0,0.0,23.0,184853.48,220060.87,1.36,POINT(-72.3011917 41.7020432)
Bridgewater,2015,269433.33,401944.44,0.78,19.0,89.92,0.0,0.0,2.0,157150.0,182250.0,0.88,7.0,301514.29,464714.29,0.75,POINT(-73.3662305 41.5350949)
North Canaan,2013,113796.67,100269.17,3.56,124.0,318.94,0.0,0.0,0.0,0.0,0.0,0.0,6.0,113796.67,100269.17,3.56,POINT(-73.3295947 42.0270143)
Scotland,2010,208960.0,222950.0,0.92,36.0,200.17,1.0,0.0,0.0,0.0,0.0,0.0,2.0,208960.0,222950.0,0.92,POINT(-72.082083 41.6981999)
Barkhamsted,2009,137156.0,219860.0,0.65,60.0,148.8,1.0,0.0,0.0,0.0,0.0,0.0,5.0,137156.0,219860.0,0.65,POINT(-72.9139904 41.9292629)
Lyme,2014,240961.2,409000.0,0.72,48.0,205.27,0.0,0.0,0.0,0.0,0.0,0.0,5.0,240961.2,409000.0,0.72,POINT(-72.35110142568081 41.3910952)
Stratford,2016,615722.23,221633.81,16.7,3643.14,629.85,12.0,4.0,34.0,146567.65,192974.97,0.78,141.0,728851.7,228544.45,20.54,POINT(-73.1331651 41.1845415)
Hampton,2017,104233.33,121750.0,0.88,9.0,44.24,1.0,0.0,0.0,0.0,0.0,0.0,3.0,104233.33,121750.0,0.88,POINT(-72.0547977 41.7839873)
Torrington,2017,93919.09,123758.97,1.1,1843.0,452.19,5.0,8.0,5.0,48896.0,68200.0,0.96,28.0,101958.93,133680.21,1.12,POINT(-73.1212214 41.8006523)
Newtown,2014,239097.63,371933.28,0.66,511.83,176.39,5.0,1.0,5.0,200528.0,283600.0,0.71,71.0,241813.8,378153.93,0.66,POINT(-73.3086445 41.4134764)
Danbury,2015,160260.18,269272.75,0.72,4576.79,528.56,16.0,8.0,82.0,134065.85,284870.44,0.57,142.0,175386.48,260265.63,0.81,POINT(-73.4540111 41.394817)
Killingworth,2015,218456.67,295756.75,0.82,58.0,83.27,0.0,0.0,0.0,0.0,0.0,0.0,24.0,218456.67,295756.75,0.81,POINT(-72.5637023 41.3581545)
Seymour,2013,148067.11,187917.78,1.3,553.91,308.85,4.0,1.0,7.0,81100.0,100225.71,0.83,38.0,160403.16,204071.58,1.38,POINT(-73.0741697 41.3943578)
Cheshire,2010,229292.08,349331.18,0.85,936.25,283.76,7.0,3.0,18.0,152882.22,220105.56,0.71,54.0,254762.04,392406.39,0.9,POINT(-72.900658 41.4989861)
Prospect,2012,156761.0,222187.38,0.78,305.0,301.71,0.0,1.0,4.0,119970.0,284499.5,0.45,12.0,169024.67,201416.67,0.88,POINT(-72.9787163 41.5023192)
Ansonia,2009,145416.67,169451.67,0.94,1068.0,498.64,4.0,0.0,1.0,151500.0,204900.0,0.74,11.0,144863.64,166229.09,0.96,POINT(-73.043713 41.3423505)
East Haddam,2010,201905.94,269531.25,0.93,390.81,405.59,0.0,0.0,1.0,207840.0,269000.0,0.77,31.0,201714.52,269548.39,0.94,POINT(-72.4613902 41.4529215)
Brooklyn,2016,128161.29,198958.06,0.7,134.26,161.68,2.0,0.0,0.0,0.0,0.0,0.0,31.0,128161.29,198958.06,0.7,POINT(-71.9497957 41.7881541)
Woodbury,2011,277964.52,323818.39,0.93,179.71,168.58,0.0,0.0,10.0,175453.0,196490.0,0.95,21.0,326779.52,384450.95,0.92,POINT(-73.2090025 41.5445404)
Roxbury,2010,638998.0,809509.0,1.51,48.0,194.46,0.0,0.0,0.0,0.0,0.0,0.0,5.0,638998.0,809509.0,1.51,POINT(-73.3088922 41.5568282)
Westport,2017,1043442.86,1318313.52,0.77,912.0,305.87,7.0,1.0,2.0,565050.0,955000.0,0.59,19.0,1093800.0,1356557.05,0.79,POINT(-73.3578955 41.1414855)
Berlin,2017,169350.0,187675.0,0.92,1284.0,608.75,3.0,0.0,1.0,65000.0,92000.0,0.71,3.0,204133.33,219566.67,1.0,POINT(-72.7456519 41.621488)
New Hartford,2016,217259.72,291233.33,0.77,107.83,153.02,3.0,0.0,2.0,80710.0,89000.0,0.94,16.0,234328.44,316512.5,0.75,POINT(-72.9770488 41.8823187)
North Branford,2011,174303.57,226963.21,0.83,652.5,404.87,3.0,2.0,3.0,177333.33,243333.33,0.73,25.0,173940.0,224998.8,0.84,POINT(-72.7673198 41.3275971)
Hamden,2011,152418.61,180606.27,1.24,5005.03,758.81,9.0,11.0,27.0,108652.96,132661.52,0.95,110.0,163161.09,192374.53,1.31,POINT(-72.8968574 41.3959302)
Putnam,2012,120242.86,102492.64,1.46,776.86,743.67,3.0,2.0,2.0,114650.0,40000.0,2.92,12.0,121175.0,112908.08,1.21,POINT(-71.9092563 41.9153094)
Sterling,2015,121418.0,176193.33,0.83,57.0,158.98,1.0,0.0,0.0,0.0,0.0,0.0,15.0,121418.0,176193.33,0.83,POINT(-71.828682 41.707599)
Wallingford,2011,183020.0,254561.04,1.18,2765.57,554.56,11.0,6.0,16.0,147793.75,207518.75,0.73,104.0,188439.42,261798.32,1.25,POINT(-72.8231552 41.4570418)
Harwinton,2016,152628.5,198697.45,1.07,77.65,127.02,0.0,0.0,1.0,188830.0,311000.0,0.61,19.0,150723.16,192786.79,1.1,POINT(-73.05983 41.7712085)
Colchester,2017,208712.5,307425.0,0.67,228.0,135.34,4.0,1.0,0.0,0.0,0.0,0.0,8.0,208712.5,307425.0,0.67,POINT(-72.3320269 41.5756543)
Salisbury,2017,316425.0,449125.0,0.72,51.0,110.75,0.0,1.0,0.0,0.0,0.0,0.0,4.0,316425.0,449125.0,0.72,POINT(-73.4212318 41.983426)
Bristol,2013,120901.25,168451.81,0.85,4679.73,671.45,11.0,6.0,19.0,75798.74,127331.84,0.75,125.0,127756.83,174702.04,0.86,POINT(-72.9464859 41.6735209)
Lebanon,2012,202540.36,224116.07,0.96,121.75,151.83,3.0,0.0,0.0,0.0,0.0,0.0,28.0,202540.36,224116.07,0.96,POINT(-72.2125789 41.6362097)
Stratford,2013,180223.79,223880.8,0.94,4230.87,729.57,12.0,4.0,20.0,153435.3,204877.65,0.85,95.0,185863.47,227881.46,0.95,POINT(-73.1331651 41.1845415)
New Britain,2013,91898.6,126822.36,0.84,7391.09,890.31,11.0,7.0,16.0,81935.0,106075.0,0.85,141.0,93029.22,129176.67,0.83,POINT(-72.7795419 41.6612104)
New Fairfield,2010,251394.87,360788.38,0.78,166.0,102.93,4.0,0.0,0.0,0.0,0.0,0.0,39.0,251394.87,360788.38,0.78,POINT(-73.4856789 41.4664832)
Hamden,2013,158231.21,206769.98,0.89,4802.85,727.29,9.0,11.0,21.0,100933.33,118536.86,0.93,103.0,169913.3,224759.26,0.88,POINT(-72.8968574 41.3959302)
Goshen,2011,255363.08,261461.54,1.03,46.15,147.74,0.0,0.0,0.0,0.0,0.0,0.0,13.0,255363.08,261461.54,1.03,POINT(-73.2251145 41.8317624)
East Windsor,2010,142889.52,198129.76,0.8,960.29,845.9,2.0,1.0,13.0,121626.92,210196.15,0.65,29.0,152421.03,192720.69,0.87,POINT(-72.6130726 41.9156316)
West Hartford,2012,205073.21,322275.51,0.68,4431.83,600.41,15.0,8.0,22.0,162082.73,254228.64,0.67,134.0,212131.34,333447.38,0.68,POINT(-72.7420399 41.7620447)
Bridgewater,2013,372250.0,375541.5,1.08,22.5,106.24,0.0,0.0,0.0,0.0,0.0,0.0,4.0,372250.0,375541.5,1.08,POINT(-73.3662305 41.5350949)
Colchester,2009,180750.0,247553.57,0.75,555.0,330.38,4.0,1.0,3.0,150466.67,229066.67,0.64,25.0,184384.0,249772.0,0.76,POINT(-72.3320269 41.5756543)
Simsbury,2015,209693.23,319381.62,0.72,496.0,184.54,4.0,2.0,20.0,171439.3,282401.95,0.75,84.0,218801.31,328186.3,0.71,POINT(-72.8012211 41.8759152)
Old Saybrook,2017,428038.46,571957.69,0.71,255.0,212.45,3.0,3.0,2.0,264700.0,559750.0,0.48,11.0,457736.36,574177.27,0.75,POINT(-72.3761956 41.2917652)
New Milford,2017,160852.92,226662.5,1.17,974.0,310.16,5.0,2.0,9.0,107387.78,161000.0,0.68,15.0,192932.0,266060.0,1.47,POINT(-73.41176538312553 41.5867418)
Cheshire,2017,192335.0,295234.32,0.65,534.0,161.56,7.0,3.0,7.0,116832.86,171950.71,0.68,15.0,227569.33,352766.67,0.64,POINT(-72.900658 41.4989861)
Old Lyme,2016,290648.52,368450.44,1.66,151.33,176.54,0.0,0.0,0.0,0.0,0.0,0.0,54.0,290648.52,368450.44,1.66,POINT(-72.3289715 41.3159315)
Middlefield,2015,245066.67,305194.44,0.83,61.0,125.42,0.0,0.0,2.0,355250.0,457875.0,0.77,7.0,213585.71,261571.43,0.84,POINT(-72.7120793 41.5165161)
Woodstock,2009,188995.05,202491.68,1.95,153.0,183.55,2.0,0.0,2.0,118250.0,133750.0,0.89,17.0,197318.0,210578.94,2.08,POINT(-71.9739626 41.9484307)
New Britain,2009,104921.42,119461.88,1.67,10082.0,1220.79,11.0,7.0,12.0,60188.33,76550.0,0.93,94.0,110632.02,124939.99,1.77,POINT(-72.7795419 41.6612104)
Somers,2017,143281.25,234830.25,0.83,141.0,116.91,3.0,0.0,1.0,10500.0,372842.0,0.03,7.0,162250.0,215114.29,0.94,POINT(-72.4461952 41.9853742)
Sharon,2016,245390.91,301363.64,0.93,53.45,155.51,1.0,2.0,0.0,0.0,0.0,0.0,11.0,245390.91,301363.64,0.93,POINT(-73.4767897 41.8792599)
Southington,2013,183438.73,276064.94,0.71,2563.88,556.11,8.0,2.0,13.0,135541.54,197923.08,0.72,89.0,190434.94,287478.92,0.71,POINT(-72.8782941 41.6005435)
Ellington,2014,349788.67,267745.1,1.7,202.46,135.16,5.0,0.0,10.0,807618.8,306983.3,2.28,29.0,191916.21,254214.69,1.5,POINT(-72.4698071 41.9039863)
Bolton,2014,158700.0,190112.5,0.94,79.0,135.85,2.0,0.0,0.0,0.0,0.0,0.0,16.0,158700.0,190112.5,0.94,POINT(-72.4334173 41.7689878)
North Branford,2009,210922.73,257946.64,0.87,864.0,538.14,3.0,2.0,1.0,116620.0,170000.0,0.69,10.0,220353.0,266741.3,0.89,POINT(-72.7673198 41.3275971)
New Hartford,2011,205147.78,254703.7,0.92,175.22,248.32,3.0,0.0,3.0,94336.67,116666.67,0.81,24.0,218999.17,271958.33,0.93,POINT(-72.9770488 41.8823187)
Sharon,2012,454537.5,526937.5,0.99,57.38,166.51,1.0,2.0,1.0,155900.0,173000.0,0.9,7.0,497200.0,577500.0,1.01,POINT(-73.4767897 41.8792599)
Andover,2015,167525.0,230425.0,0.89,12.0,34.16,1.0,0.0,0.0,0.0,0.0,0.0,8.0,167525.0,230425.0,0.89,POINT(-72.37036 41.7373212)
Derby,2016,126334.09,182036.36,0.72,1038.82,724.22,3.0,3.0,5.0,105014.0,145380.0,0.73,17.0,132604.71,192817.65,0.72,POINT(-73.0890324 41.3223611)
Lebanon,2010,188953.64,248859.32,0.86,173.59,217.43,3.0,0.0,0.0,0.0,0.0,0.0,22.0,188953.64,248859.32,0.86,POINT(-72.2125789 41.6362097)
Hartland,2012,180356.67,268333.33,0.67,16.0,68.52,0.0,0.0,0.0,0.0,0.0,0.0,3.0,180356.67,268333.33,0.67,POINT(-72.9795488 41.996206)
East Haddam,2012,325440.0,625000.0,0.52,376.0,389.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,325440.0,625000.0,0.52,POINT(-72.4613902 41.4529215)
East Lyme,2012,272370.97,342338.04,0.89,602.39,286.42,2.0,0.0,11.0,175292.73,294727.27,0.62,61.0,289876.89,350923.59,0.93,POINT(-72.2258709 41.3569909)
New London,2010,135541.11,154788.54,1.13,3468.86,1168.83,7.0,5.0,11.0,111541.09,200636.36,0.86,45.0,141407.78,143581.29,1.2,POINT(-72.0997804 41.3556187)
East Windsor,2011,151837.58,196507.24,0.83,1071.48,941.38,2.0,1.0,9.0,117158.89,205050.0,0.66,24.0,164842.08,193303.71,0.9,POINT(-72.6130726 41.9156316)
New Canaan,2014,1066544.77,1538981.66,0.73,433.71,192.89,5.0,2.0,14.0,608365.0,946100.0,0.63,51.0,1192319.61,1701733.49,0.75,POINT(-73.4948446 41.146763)
Washington,2015,608198.42,675000.0,1.06,67.11,161.31,0.0,0.0,0.0,0.0,0.0,0.0,19.0,608198.42,675000.0,1.06,POINT(-73.3106731 41.6314845)
Monroe,2016,239731.94,324119.68,0.79,423.63,190.15,5.0,0.0,11.0,171545.45,241027.27,0.7,61.0,252027.87,339103.56,0.8,POINT(-73.2073358 41.3325962)
Ansonia,2017,143136.36,196431.82,0.76,1135.0,528.33,4.0,0.0,0.0,0.0,0.0,0.0,11.0,143136.36,196431.82,0.76,POINT(-73.043713 41.3423505)
Meriden,2017,109971.59,164732.84,0.77,4975.0,737.7,11.0,9.0,6.0,91641.67,143954.17,0.62,38.0,112865.79,168013.68,0.79,POINT(-72.8070435 41.5381535)
Wethersfield,2014,164715.15,231764.19,0.79,1128.91,370.67,7.0,0.0,12.0,113258.33,160800.0,0.72,87.0,171812.64,241552.36,0.8,POINT(-72.6525922 41.7142665)
Eastford,2011,147600.0,180000.0,0.82,18.0,95.92,0.0,0.0,0.0,0.0,0.0,0.0,1.0,147600.0,180000.0,0.82,POINT(-72.0799095 41.902068)
Avon,2015,317047.47,446219.1,0.73,409.82,223.77,5.0,4.0,21.0,179342.86,245804.76,0.73,78.0,354121.79,500176.81,0.72,POINT(-72.8306541 41.8098209)
Bozrah,2015,138253.33,161781.83,0.99,68.0,249.35,0.0,0.0,0.0,0.0,0.0,0.0,6.0,138253.33,161781.83,0.99,POINT(-72.168238 41.5505962)
Norfolk,2015,351166.25,317000.0,1.13,28.5,148.41,1.0,0.0,0.0,0.0,0.0,0.0,8.0,351166.25,317000.0,1.13,POINT(-73.2020577 41.9939828)
Derby,2012,141246.67,157928.57,1.02,1054.38,733.07,3.0,3.0,2.0,121730.0,115000.0,1.2,19.0,143301.05,162447.37,1.0,POINT(-73.0890324 41.3223611)
Orange,2013,258679.75,439638.68,0.64,1066.4,694.34,2.0,2.0,7.0,165098.57,571142.43,0.34,33.0,278530.3,411743.94,0.7,POINT(-73.0256609 41.2784304)
Barkhamsted,2012,194998.57,218712.14,1.08,60.0,148.03,1.0,0.0,0.0,0.0,0.0,0.0,14.0,194998.57,218712.14,1.08,POINT(-72.9139904 41.9292629)
Andover,2010,242775.0,333375.0,0.75,81.5,232.18,1.0,0.0,0.0,0.0,0.0,0.0,8.0,242775.0,333375.0,0.75,POINT(-72.37036 41.7373212)
Cheshire,2009,217993.38,314916.96,0.8,1009.0,306.21,7.0,3.0,17.0,141844.12,203660.47,0.72,51.0,243376.47,352002.45,0.83,POINT(-72.900658 41.4989861)
Darien,2011,1219333.68,1604515.44,0.77,332.85,146.48,7.0,3.0,4.0,475615.0,606625.0,0.78,64.0,1265816.09,1666883.59,0.77,POINT(-73.4692873 41.0787079)
East Granby,2011,149860.0,229948.67,0.7,135.2,245.85,4.0,0.0,6.0,79683.33,207971.67,0.49,9.0,196644.44,244600.0,0.84,POINT(-72.7273158 41.9412081)
Greenwich,2012,1245684.85,1918402.15,0.76,1378.71,194.39,9.0,6.0,37.0,627395.68,690272.24,1.04,167.0,1382671.08,2190502.79,0.69,POINT(-73.6284598 41.0264862)
Bolton,2013,161119.05,204185.71,0.86,69.0,118.52,2.0,0.0,0.0,0.0,0.0,0.0,21.0,161119.05,204185.71,0.86,POINT(-72.4334173 41.7689878)
Fairfield,2014,535271.81,756539.47,0.71,3018.53,454.12,15.0,5.0,18.0,351703.33,580416.67,0.62,141.0,558706.08,779023.23,0.72,POINT(-73.2637258 41.1412078)
Darien,2009,1201897.67,1707758.72,0.76,438.0,193.52,7.0,3.0,0.0,0.0,0.0,0.0,43.0,1201897.67,1707758.72,0.76,POINT(-73.4692873 41.0787079)
East Hartford,2009,124800.76,148556.53,0.96,5278.0,922.2,13.0,1.0,6.0,83766.67,140915.17,0.77,73.0,128173.42,149184.59,0.98,POINT(-72.6120346 41.7823216)
Bridgewater,2012,500500.0,573750.0,0.99,18.0,84.95,0.0,0.0,0.0,0.0,0.0,0.0,2.0,500500.0,573750.0,0.99,POINT(-73.3662305 41.5350949)
Deep River,2017,172454.55,214004.55,0.95,18.0,33.71,1.0,0.0,0.0,0.0,0.0,0.0,11.0,172454.55,214004.55,0.95,POINT(-72.4356422 41.3856546)
Chester,2014,202577.0,264412.5,0.98,46.2,106.47,1.0,1.0,0.0,0.0,0.0,0.0,10.0,202577.0,264412.5,0.98,POINT(-72.4509204 41.4031547)
Avon,2009,304455.65,413456.98,0.77,577.0,315.73,5.0,4.0,24.0,158127.92,214525.04,0.76,38.0,396873.16,539098.21,0.78,POINT(-72.8306541 41.8098209)
Southbury,2009,279437.65,347714.71,0.9,660.0,307.95,0.0,6.0,19.0,177153.68,205013.16,1.03,32.0,340168.75,432443.75,0.82,POINT(-73.2131693 41.4814848)
Greenwich,2011,1401215.9,1996121.1,0.82,1210.23,170.9,9.0,6.0,27.0,493722.96,632311.11,0.79,129.0,1591156.28,2281569.71,0.82,POINT(-73.6284598 41.0264862)
Bloomfield,2016,156802.57,222473.81,0.8,1844.29,813.34,6.0,9.0,11.0,178309.09,239895.45,0.75,59.0,152792.88,219225.71,0.81,POINT(-72.7300945 41.826488)
Simsbury,2016,204263.23,315745.57,0.65,509.62,189.48,4.0,2.0,31.0,128674.71,219575.35,0.62,76.0,235095.39,354972.89,0.66,POINT(-72.8012211 41.8759152)
Seymour,2016,152962.62,204322.18,0.81,462.57,258.65,4.0,1.0,14.0,102800.0,146285.71,0.71,47.0,167904.68,221609.64,0.85,POINT(-73.0741697 41.3943578)
Naugatuck,2016,110579.2,146874.61,0.85,1562.76,435.76,9.0,1.0,9.0,86195.56,116456.11,0.82,66.0,113904.24,151022.59,0.85,POINT(-73.0509432 41.4860186)
Thomaston,2013,125012.63,155876.32,1.21,277.58,318.79,3.0,0.0,7.0,97290.0,130642.86,0.79,12.0,141184.17,170595.83,1.45,POINT(-73.073164 41.6739862)
Newtown,2010,340166.03,435402.83,0.93,637.03,220.12,5.0,1.0,8.0,128343.75,351098.75,0.47,55.0,370976.55,447665.24,1.0,POINT(-73.3086445 41.4134764)
Avon,2010,327362.05,431205.48,0.79,549.99,300.51,5.0,4.0,26.0,199912.69,268432.69,0.8,47.0,397865.96,521250.0,0.78,POINT(-72.8306541 41.8098209)
Plainfield,2013,108265.0,151401.16,0.76,430.55,253.8,3.0,1.0,1.0,77970.0,88000.0,0.89,43.0,108969.53,152875.6,0.75,POINT(-71.915073 41.6764876)
Warren,2013,230356.0,324000.0,2.05,21.0,144.22,0.0,0.0,0.0,0.0,0.0,0.0,5.0,230356.0,324000.0,2.05,POINT(-73.3487304 41.7428733)
Bridgewater,2010,355215.0,448662.5,0.81,45.0,213.17,0.0,0.0,0.0,0.0,0.0,0.0,4.0,355215.0,448662.5,0.81,POINT(-73.3662305 41.5350949)
Sprague,2011,159150.0,211450.0,0.73,108.0,313.37,0.0,0.0,0.0,0.0,0.0,0.0,2.0,159150.0,211450.0,0.73,POINT(-72.0663666 41.6214071)
Wolcott,2016,153550.78,212743.67,0.84,855.09,485.54,5.0,1.0,7.0,103585.71,168850.0,0.71,57.0,159686.84,218134.12,0.86,POINT(-72.9867718 41.6023196)
Colebrook,2012,198233.33,272788.33,0.71,25.0,146.36,0.0,0.0,0.0,0.0,0.0,0.0,3.0,198233.33,272788.33,0.71,POINT(-73.0956646 41.9895388)
Stamford,2013,361629.22,552138.56,0.72,7042.85,518.34,20.0,17.0,118.0,212852.54,376453.46,0.61,164.0,468675.85,678546.13,0.8,POINT(-73.5387341 41.0534302)
Westbrook,2010,213703.21,231529.64,1.21,154.71,212.83,3.0,1.0,2.0,340170.0,447250.0,0.76,26.0,203975.0,214935.77,1.24,POINT(-72.4475874 41.285377)
